ExtractSubClass(jon.sandbox.eclipse.ui.model.library.Book;Class_1;[m_title];[setTitle];[])
MoveField(jon.sandbox.code.questions.group2.ScreeningQuestions;jon.sandbox.eclipse.ui.viewer.PersonViewer.PersonViewerSorter;[ms_initialEstimates];[];[])
DecreaseFieldSecurity(jon.sandbox.common.ui.viewer.CommonTableViewer;;[m_inputSet];[];[])
ExtractSuperClass(com.sforce.ws.bind.TypeInfo;Class_2;[namespace];[getMinOcc|getName|getNamespace];[])
ExtractClass(pkgio.MyLineNumberReader;Class_3;[];[mySetLineNumber];[])
ExtractSuperClass(com.sforce.ws.bind.XmlObject;Class_4;[defaultNamespace|xmlType];[addOrSetField|cloneFrom|extractChildElement|findField|getTypedChildren|loadAfterStartTag|write];[])
DecreaseFieldSecurity(jon.sandbox.eclipse.ui.viewer.VirtualViewer.LibraryTreeContentProvider.AuthorBookLabelProvider.LibraryTreeSorter;;[ms_colIndexAuthorBook];[];[])
DecreaseMethodSecurity(jon.sandbox.eclipse.ui.viewer.edit.IsMarriedEditingSupport;;[];[canEdit];[])
PullUpField(net.majorkernelpanic.streaming.rtp.MediaCodecInputStream;java.io.InputStream;[mBuffer];[];[])
ExtractSuperClass(com.example.services.FridgeService;Class_5;[];[get];[])
MoveMethod(jon.sandbox.code.tree.BinaryTreeMain;com.sforce.ws.wsdl.PortType.MessageRef;[];[main];[])
MoveMethod(jon.sandbox.code.stream.SortedStreamMain;action.HttpServletResponseTest.OutputStreamTest;[];[main];[])
PullUpField(jon.sandbox.code.questions.group2.ScreeningQuestions;java.lang.Object;[personviewersorter];[];[])
PushDownField(java.lang.Object;jon.sandbox.code.stream.SortedStreamMain;[personviewersorter];[];[])
MoveField(com.example.models.RecipeResponse;nl.gmt.rollbase.shared.RbAccessor.Builder.MyClassLoader;[message];[];[])
MoveMethod(jon.sandbox.eclipse.ui.model.library.Book;br.com.dbsoft.core.DBSLogger;[];[getTitle];[])
IncreaseMethodSecurity(com.dianping.dpsf.protocol.java.CompactObjectOutputStream;;[];[writeClassDescriptor];[])
