ExtractSubClass(com.housing.Database;Class_1;[mockup];[getConnection];[])
MoveMethod(com.housing.EchoServlet;si.hibernate4servlets.GenericDAO;[];[doPost];[])
IncreaseMethodSecurity(com.portal.Database.Worker.Job.LogValue;;[];[run];[])
PullUpField(com.maven.web.EchoServlet;javax.servlet.http.HttpServlet;[serialVersionUID];[];[])
ExtractClass(com.guru.android.WebView.HelloWebView;Class_2;[];[onCreateOptionsMenu];[])
PullUpMethod(com.maven.web.EchoServlet;javax.servlet.http.HttpServlet;[];[noData];[])
DecreaseMethodSecurity(com.portal.Database.Worker.Job.LogValue;;[];[run];[])
ExtractClass(com.maven.core.NullSafety;Class_3;[];[notEmptyStr];[])
MoveField(javax.servlet.http.HttpServlet;android.app.Activity;[serialVersionUID];[];[])
PushDownField(javax.servlet.http.HttpServlet;com.maven.web.EchoServlet;[activity];[];[])
EncapsulateField(si.gustinmi.Servlet;;[cache];[];[])
MoveField(default.Tester.Builder;com.guru.android.WebView.HelloWebView.WebAppInterface;[stringBuilder];[];[])
PullUpField(si.gustinmi.Servlet;javax.servlet.http.HttpServlet;[cache];[];[])
ExtractSubClass(com.maven.core.NullSafety;Class_4;[];[isset];[])
MoveMethod(com.delavnica.HelloWWW;com.antaranga.jsf.beans.CurrentTimeBean;[];[doGet];[])
ExtractSuperClass(com.portal.PageBean;Class_5;[isLoggedIn|log];[getSessionUser|setContext|setRequest];[])
ExtractSuperClass(default.Tester.Builder;Class_6;[];[setStringBuilder];[])
MoveField(default.Tester.Builder;com.guru.android.WebView.R;[webappinterface];[];[])
MoveField(javax.servlet.http.HttpServlet;Class_2;[cache];[];[])
PullUpMethod(com.handmark.pulltorefresh.library.PullToRefreshWebView.InternalWebViewSDK9;android.webkit.WebView;[];[getScrollRange];[])
PullUpMethod(com.guru.android.WebView.HelloWebView;android.app.Activity;[];[onCreate];[])
PushDownMethod(si.hibernate4servlets.GenericDAO;si.hibernate4servlets.GenericDAOImpl.TestTableManager;[];[findByNamedQuery];[])
ExtractClass(com.antaranga.jsf.beans.menu.MenuItem;Class_7;[id];[];[])
IncreaseFieldSecurity(Triangle.SyntacticAnalyzer.Token;;[IDENTIFIER];[];[])
PullUpMethod(si.hibernate4servlets.GenericDAOImpl.TestTableManager;si.hibernate4servlets.GenericDAO;[];[findByNamedQuery];[])
DecreaseMethodSecurity(com.portal.servlet.UserDetailsServlet;;[];[get];[])
ExtractClass(com.housing.EchoServlet;Class_8;[];[];[])
IncreaseMethodSecurity(com.portal.Database.Worker;;[];[run];[])
DecreaseFieldSecurity(si.hibernate4servlets.HibernateSessionFilter;;[log];[];[])
IncreaseFieldSecurity(com.guru.android.WebView.HelloWebView.WebAppInterface;;[mContext];[];[])
DecreaseFieldSecurity(Triangle.SyntacticAnalyzer.Token;;[lastReservedWord];[];[])
MoveField(com.guru.android.WebView.BuildConfig;com.antaranga.jsf.beans.menu.MenuItem;[DEBUG];[];[])
ExtractClass(Class_2;Class_9;[];[];[])
MoveMethod(com.guru.android.WebView.HelloWebView.WebAppInterface;com.maven.core.NullSafety;[];[showToast];[])
ExtractSuperClass(com.portal.DatabaseTables;Class_10;[];[getDbname|getInsertSt|getName];[])
MoveField(com.guru.android.WebView.HelloWebView.WebAppInterface;Class_1;[mContext];[];[])
MoveMethod(com.portal.Database.Worker.Job.LogValue;com.guru.android.WebView.R;[];[run];[])
IncreaseMethodSecurity(Triangle.SyntacticAnalyzer.Token;;[];[toString];[])
