ExtractSubClass(org.opensky.libadsb.ModeSDecoder;Class_1;[latestTimestamp];[decode|isAirbornePosition];[])
DecreaseMethodSecurity(me.MnC.MnC_SERVER_MOD.util.MTRandom;;[];[next];[])
ExtractSuperClass(org.opensky.libadsb.PositionDecoder;Class_2;[MAX_DIST_TO_SENDER|last_even_airborne|last_even_surface|last_even_surface_time|last_odd_surface_time|last_pos];[decodePosition|withinThreshold];[])
ExtractClass(org.opensky.libadsb.msgs.ModeSReply.subtype;Class_3;[CRC_polynomial];[getDownlinkFormat|getFirstField|getHexMessage|getParity|getPayload|hashCode|setType];[])
EncapsulateField(org.opensky.libadsb.ModeSDecoder.DecoderData;;[nicSupplA];[];[])
ExtractClass(org.opensky.example.ExampleDecoder;Class_4;[];[main];[])
MoveField(org.opensky.libadsb.ModeSDecoder.DecoderData;org.opensky.libadsb.msgs.AirborneOperationalStatusV2Msg;[adsbVersion];[];[])
ExtractSubClass(org.opensky.libadsb.msgs.VelocityOverGroundMsg;Class_5;[geo_minus_baro|ifr_capability|intent_change|north_south_velocity|serialVersionUID|vertical_rate_info_available];[getGeoMinusBaro|getNACv|getRawNACv|hasVelocityInfo|isSupersonic];[])
ExtractClass(org.opensky.example.ExampleDecoder;Class_6;[];[main];[])
ExtractClass(org.opensky.libadsb.ModeSDecoder.DecoderData;Class_7;[airborneoperationalstatusv2msg];[getNicSupplA|setAdsbVersion];[])
IncreaseMethodSecurity(org.opensky.libadsb.msgs.ModeSReply.subtype;;[];[getCRC_polynomial];[])
PullUpField(me.MnC.MnC_SERVER_MOD.util.MTRandom;java.util.Random;[UPPER_MASK];[];[])
ExtractSubClass(org.opensky.libadsb.msgs.ModeSReply.subtype;Class_8;[type];[checkParity|getExpectedLength|getFirstField|getPayload|getTransponderAddress|getType|setCRC_polynomial];[])
DecreaseFieldSecurity(org.opensky.example.ExampleDecoder;;[decoder];[];[])
ExtractClass(rp1.rossum.RsVector;Class_9;[NEARLY_ZERO|x];[magnitude];[])
ExtractSuperClass(org.opensky.libadsb.ModeSDecoder.DecoderData;Class_10;[geoMinusBaro];[getAdsbVersion|setNicSupplA];[])
PushDownField(org.opensky.libadsb.msgs.ModeSReply;org.opensky.libadsb.msgs.AllCallReply;[serialVersionUID];[];[])
PullUpField(org.opensky.libadsb.exceptions.PositionStraddleError;java.lang.Exception;[serialVersionUID];[];[])
PullUpMethod(java.lang.StringBuilder;java.lang.AbstractStringBuffer;[];[capacity];[])
ExtractClass(me.MnC.MnC_SERVER_MOD.util.MTRandom;Class_11;[serialVersionUID];[next];[])
ExtractSubClass(rp1.rossum.RsRectangle;Class_12;[];[contains];[])
ExtractSubClass(Class_3;Class_13;[];[];[])
IncreaseFieldSecurity(java.util.Random;;[UPPER_MASK];[];[])
PullUpMethod(org.opensky.libadsb.msgs.SurfaceOperationalStatusV1Msg;org.opensky.libadsb.msgs.ExtendedSquitter;[];[getSubtypeCode];[])
PullUpField(org.opensky.libadsb.msgs.AirborneOperationalStatusV2Msg;org.opensky.libadsb.msgs.AirborneOperationalStatusV1Msg;[sil_supplement];[];[])
PullUpMethod(org.opensky.libadsb.exceptions.BadFormatException;java.lang.Exception;[];[getMessage];[])
DecreaseFieldSecurity(org.opensky.libadsb.msgs.CommBAltitudeReply;;[utility_msg];[];[])
PushDownField(java.util.Random;me.MnC.MnC_SERVER_MOD.util.MTRandom;[UPPER_MASK];[];[])
IncreaseMethodSecurity(org.opensky.libadsb.tools;;[];[knots2MetersPerSecond];[])
ExtractClass(org.opensky.libadsb.msgs.SurfacePositionV2Msg;Class_14;[];[hasNICSupplementC];[])
PushDownField(java.lang.Exception;org.opensky.libadsb.exceptions.BadFormatException;[serialVersionUID];[];[])
ExtractSuperClass(java.lang.String;Class_15;[serialVersionUID];[charAt|codePointAt|codePointBefore|compareTo|equals|getBytes|isEmpty];[])
ExtractSubClass(org.opensky.libadsb.ModeSDecoder.DecoderData;Class_16;[nicSupplC];[];[])
MoveField(java.lang.AbstractStringBuffer;org.opensky.libadsb.ModeSDecoder.DecoderData;[value];[];[])
ExtractClass(org.opensky.libadsb.ModeSDecoder.DecoderData;Class_17;[value];[];[])
ExtractSubClass(org.opensky.libadsb.Position;Class_18;[b|latitude|reasonable];[equals|getAltitude|getLatitude|getLongitude|haversine|toECEF];[])
PullUpField(org.opensky.libadsb.msgs.VelocityOverGroundMsg;org.opensky.libadsb.msgs.ExtendedSquitter;[msg_subtype];[];[])
PullUpField(org.opensky.libadsb.exceptions.BadFormatException;java.lang.Exception;[msg];[];[])
PushDownField(java.lang.Exception;org.opensky.libadsb.exceptions.BadFormatException;[msg];[];[])
ExtractSubClass(org.opensky.libadsb.msgs.IdentifyReply;Class_19;[identity];[getFlightStatus|getUtilityMsg|hasSPI|isOnGround];[])
DecreaseFieldSecurity(org.opensky.libadsb.msgs.EmergencyOrPriorityStatusMsg;;[serialVersionUID];[];[])
ExtractSuperClass(org.opensky.libadsb.msgs.ModeSReply.subtype;Class_20;[];[calcParity];[])
PullUpMethod(org.opensky.libadsb.msgs.IdentifyReply;org.opensky.libadsb.msgs.ModeSReply;[];[getInterrogatorIdentifier];[])
MoveField(org.opensky.libadsb.msgs.CommBAltitudeReply;org.opensky.libadsb.Position;[utility_msg];[];[])
DecreaseFieldSecurity(org.opensky.libadsb.msgs.ExtendedSquitter;;[serialVersionUID];[];[])
MoveField(org.opensky.libadsb.tools;rp1.rossum.RsTransform;[hexDigits];[];[])
PushDownMethod(org.opensky.libadsb.msgs.AirbornePositionV1Msg;org.opensky.libadsb.msgs.AirbornePositionV2Msg;[];[hasNICSupplementA];[])
ExtractSubClass(org.opensky.libadsb.tools;Class_21;[];[feet2Meters|hexStringToByteArray|isZero|knots2MetersPerSecond|meters2Feet|metersPerSecond2Knots|toHexString|xor];[])
ExtractSuperClass(org.opensky.libadsb.msgs.ModeSReply.subtype;Class_22;[];[];[])
ExtractClass(me.MnC.MnC_SERVER_MOD.util.MTRandom;Class_23;[MAGIC_FACTOR1];[];[])
ExtractSubClass(Class_5;Class_24;[];[];[])
ExtractSuperClass(java.lang.String;Class_25;[hash|serialPersistentFields|serialVersionUID|value|value];[codePointCount|equalsIgnoreCase];[])
PullUpField(org.opensky.libadsb.exceptions.BadFormatException;java.lang.Exception;[reason];[];[])
DecreaseFieldSecurity(org.opensky.libadsb.msgs.IdentifyReply;;[serialVersionUID];[];[])
ExtractClass(org.opensky.libadsb.msgs.AirspeedHeadingMsg;Class_26;[geo_minus_baro|navigation_accuracy_category|true_airspeed|vertical_rate_down|vertical_rate_info_available];[getHeading|getNACv|getVerticalRate|hasChangeIntent|hasHeadingStatusFlag|isTrueAirspeed];[])
PushDownMethod(java.lang.Exception;org.opensky.libadsb.exceptions.UnspecifiedFormatError;[];[getMessage];[])
MoveMethod(rp1.rossum.RsPoint;rp1.rossum.RsPlan;[];[distance];[])
PushDownField(java.lang.Number;java.lang.Integer;[serialVersionUID];[];[])
EncapsulateField(rp1.rossum.RsSegment;;[v];[];[])
EncapsulateField(java.lang.Number;;[digits];[];[])
IncreaseMethodSecurity(org.opensky.libadsb.msgs.AllCallReply;;[];[getInterrogatorCode];[])
PullUpField(org.opensky.libadsb.exceptions.BadFormatException;java.lang.Exception;[msg];[];[])
ExtractClass(org.opensky.libadsb.msgs.AllCallReply;Class_27;[capabilities];[getInterrogatorCode|toString];[])
MoveMethod(org.opensky.libadsb.msgs.LongACAS;java.util.Random;[];[getAltitude];[])
ExtractClass(java.lang.Boolean;Class_28;[value];[compare|compareTo|valueOf];[])
ExtractSubClass(Class_9;Class_29;[];[];[])
ExtractSuperClass(org.opensky.libadsb.PositionDecoder;Class_30;[];[];[])
IncreaseMethodSecurity(org.opensky.libadsb.tools;;[];[toHexString];[])
PullUpMethod(org.opensky.libadsb.msgs.SurfacePositionV1Msg;org.opensky.libadsb.msgs.SurfacePositionV0Msg;[];[hasNICSupplementA];[])
ExtractClass(Class_10;Class_31;[];[];[])
ExtractSuperClass(Class_11;Class_32;[];[];[])
ExtractSuperClass(org.opensky.libadsb.msgs.ExtendedSquitter;Class_33;[serialVersionUID];[getCapabilities];[])
ExtractClass(Class_11;Class_34;[];[];[])
PushDownField(java.lang.Exception;org.opensky.libadsb.exceptions.BadFormatException;[msg];[];[])
MoveField(rp1.rossum.RsObject;org.opensky.libadsb.exceptions.UnspecifiedFormatError;[label];[];[])
ExtractClass(org.opensky.libadsb.msgs.VelocityOverGroundMsg;Class_35;[east_west_velocity|vertical_rate_down];[getEastToWestVelocity|getHeading|getNorthToSouthVelocity];[])
ExtractClass(Class_19;Class_36;[];[];[])
ExtractSubClass(rp1.rossum.RsSegment;Class_37;[serialVersionUID];[getV];[])
IncreaseFieldSecurity(rp1.rossum.RsObject;;[unspecifiedformaterror];[];[])
PullUpField(org.opensky.libadsb.exceptions.UnspecifiedFormatError;java.lang.Exception;[label];[];[])
PullUpMethod(java.lang.Integer;java.lang.Number;[];[hashCode];[])
IncreaseMethodSecurity(rp1.rossum.RsRectangle;;[];[isPopulated];[])
ExtractSubClass(org.opensky.libadsb.ModeSDecoder.DecoderData;Class_38;[posDec];[];[])
PullUpField(me.MnC.MnC_SERVER_MOD.util.MTRandom;java.util.Random;[M];[];[])
ExtractClass(org.opensky.example.ExampleDecoder;Class_39;[];[];[])
ExtractClass(Class_11;Class_40;[];[];[])
ExtractSubClass(org.opensky.example.ExampleDecoder;Class_41;[];[];[])
