Abstraction	Cohesion	Complexity	Composition	Coupling	Design Size	Effectiveness	Encapsulation	Extendibility	Flexibility	Functionality	Hierarchies	Inheritance	Messaging	Polymorphism	Reusability	Standard Cohesion	Standard Complexity	Standard Coupling	TQI	Understandability
7	16	13	10	11	8	18	13	14	16	16	12	12	13	9	16	14	15	6	16	12
3	4	2	3	3	5	7	5	6	5	4	0	6	2	3	4	2	5	3	5	8
6	10	4	5	8	7	18	10	9	15	7	12	3	4	9	7	4	10	6	9	8
7	18	6	4	11	12	14	14	10	11	12	4	12	7	12	12	5	18	14	16	16
21	25	11	15	20	27	43	32	33	31	17	18	30	12	23	15	9	31	20	22	34
1	2	0	2	2	3	3	0	1	2	0	2	1	0	2	0	2	1	2	0	1
14	30	14	12	13	20	42	24	22	40	31	20	21	14	24	19	13	27	22	36	16
5	17	11	11	11	9	29	21	12	28	18	6	10	11	12	16	8	15	16	23	17
19	21	7	5	10	26	18	29	28	11	9	20	19	7	25	9	9	19	15	12	29
9	19	11	9	11	13	27	17	17	26	14	16	10	12	19	13	11	20	7	15	9
17	26	6	9	9	24	35	19	26	28	10	30	23	6	25	14	8	18	8	20	24
15	25	13	9	13	17	34	27	26	29	18	18	18	14	23	16	10	25	18	24	21
16	26	15	5	11	20	26	34	27	22	18	20	15	16	25	19	13	23	12	25	26
8	12	11	5	7	9	25	19	16	19	15	8	11	10	10	13	11	14	13	22	20
12	29	30	26	27	19	61	44	24	49	35	24	13	30	20	32	26	34	35	47	32
9	15	17	12	13	11	30	24	16	26	19	16	15	18	15	18	17	22	13	25	18
7	7	1	3	4	10	14	5	9	10	6	0	7	3	7	4	1	5	4	7	11
6	8	3	4	6	7	14	9	7	10	4	10	7	3	7	3	1	5	5	5	9
5	7	7	8	9	8	16	12	6	14	7	4	6	7	7	7	5	8	6	12	13
1	1	1	1	2	2	4	3	1	3	2	2	1	1	1	1	1	2	1	2	2
7	9	5	7	9	9	15	0	9	13	7	12	8	5	10	5	3	8	7	6	7
16	24	12	11	17	22	26	25	23	14	17	20	20	11	22	15	16	26	13	15	21
5	8	17	12	15	7	33	26	10	28	17	10	9	16	9	15	15	18	13	28	17
7	13	9	10	10	11	15	11	10	14	12	12	7	11	9	12	10	15	15	13	9
11	23	23	26	30	19	48	22	20	43	29	8	19	23	22	22	20	37	20	29	15
3	16	14	9	11	3	24	22	11	22	14	0	6	14	16	14	14	16	10	21	8
9	19	6	11	12	16	20	12	17	18	12	4	15	7	15	11	10	20	8	11	12
18	23	20	16	18	21	47	34	22	44	25	16	16	19	18	24	22	32	20	31	34
7	23	15	9	10	8	31	23	24	29	19	2	11	15	22	18	15	22	12	30	11
8	23	17	19	20	16	44	37	20	41	20	0	9	20	23	19	16	26	21	38	23
10	23	18	15	17	12	36	32	24	32	25	16	23	19	27	22	16	28	18	31	24
4	15	21	14	14	5	34	31	15	33	22	8	8	21	17	21	19	21	17	30	16
4	2	1	3	3	6	7	0	4	3	1	8	3	1	2	1	1	0	1	1	7
9	27	19	12	16	13	36	31	23	30	25	16	21	19	20	23	19	31	17	31	24
16	20	23	6	13	25	30	42	26	26	26	26	17	23	27	23	22	20	16	31	35
18	20	23	13	21	26	47	36	24	33	26	32	20	23	21	22	21	28	24	32	27
15	18	11	13	15	22	31	26	19	23	13	22	18	11	19	12	11	20	12	14	16
13	22	14	10	13	16	30	27	25	28	18	10	15	15	25	15	13	19	18	27	23
10	10	11	10	10	11	27	12	14	20	14	18	14	11	13	10	9	17	14	17	5
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	8	7	2	5	11	14	13	9	10	9	2	8	8	8	8	7	10	7	10	11
14	18	5	2	7	19	14	15	19	9	11	22	16	6	14	11	5	14	11	13	21
7	13	5	9	12	14	17	9	7	15	7	10	6	4	10	7	4	9	4	4	14
17	6	2	7	7	22	20	0	18	1	3	12	17	3	9	2	2	5	2	2	18
18	24	12	7	12	24	18	27	24	15	15	20	19	13	24	12	14	20	13	18	33
15	18	20	11	18	20	33	28	19	27	25	26	16	20	9	21	18	29	30	30	30
2	1	0	0	0	2	5	4	4	5	0	2	3	0	2	1	0	1	3	4	5
0	3	3	3	3	0	9	9	1	9	4	0	1	4	3	4	3	3	2	10	6
7	15	8	5	9	12	18	17	13	14	13	12	10	8	14	10	7	14	9	13	15
2	0	1	2	2	3	2	1	2	1	0	2	1	0	0	0	1	1	1	0	4
12	27	18	13	22	19	25	24	18	19	23	10	15	17	22	20	18	32	22	19	20
19	37	19	17	22	24	49	39	31	44	26	26	26	18	33	25	18	36	34	32	27
10	7	0	1	1	11	10	2	10	2	1	12	8	1	8	1	0	3	0	2	9
4	3	3	2	3	5	11	8	6	9	5	6	5	3	4	4	3	5	1	6	5
12	12	21	23	18	23	39	41	17	44	26	10	14	24	22	21	19	22	27	32	33
7	28	27	17	22	11	53	39	19	41	36	4	19	28	20	30	23	37	22	41	29
16	30	22	19	21	19	28	31	19	20	25	26	19	22	26	19	18	31	25	17	23
7	7	5	8	8	13	20	13	7	16	5	14	4	5	9	5	5	9	10	7	7
10	12	9	9	9	11	22	15	13	20	9	20	14	9	16	7	9	10	6	9	3
10	7	11	9	9	11	24	14	11	22	11	18	8	11	9	9	9	17	3	13	11
3	9	12	12	12	9	20	15	4	17	12	4	2	12	7	10	10	9	11	11	7
11	18	3	7	8	15	26	18	17	22	6	16	15	4	20	4	5	16	7	11	17
4	11	9	8	14	8	21	16	11	15	10	6	8	9	8	10	10	13	14	17	22
12	21	8	8	14	20	17	20	17	14	13	14	14	9	21	11	8	20	10	15	19
6	17	15	12	16	9	25	16	14	21	20	10	14	16	15	19	12	20	13	23	7
13	20	12	12	13	17	35	27	19	29	22	6	17	17	15	21	8	18	22	32	23
9	14	15	10	19	17	18	25	11	16	14	8	12	15	9	12	16	14	11	15	18
7	16	6	7	9	11	19	13	12	17	13	12	10	7	14	10	5	9	12	11	12
3	6	10	11	11	8	17	11	5	12	14	6	2	11	7	10	11	13	5	13	3
7	5	0	1	1	8	8	5	8	5	4	6	5	0	4	4	0	6	3	2	7
8	11	6	4	7	9	21	13	17	9	12	8	16	7	8	10	6	12	7	14	19
9	15	8	5	7	11	22	21	14	20	12	14	8	8	13	11	8	18	10	21	25
3	5	6	10	11	9	12	0	3	6	5	6	3	6	7	3	6	7	5	2	4
3	2	2	2	3	4	6	2	2	4	2	4	2	2	2	2	1	2	3	3	1
6	11	13	13	15	10	29	18	11	23	15	4	10	11	12	9	11	16	15	15	19
10	26	16	18	21	15	43	24	20	37	24	16	19	16	28	15	15	26	16	25	13
12	25	17	14	23	16	27	22	18	20	22	16	15	16	21	18	14	29	18	21	14
10	19	11	8	16	16	18	16	14	13	15	10	15	12	16	12	10	17	13	12	17
15	26	11	10	14	20	19	21	22	15	15	10	19	10	19	13	9	24	14	15	18
19	25	21	18	23	23	55	34	30	39	24	20	28	21	34	22	21	28	21	36	27
14	27	17	11	17	18	44	38	25	34	24	22	16	18	20	19	17	30	20	34	28
7	24	15	10	16	10	31	26	19	23	24	10	16	16	15	22	16	25	15	25	17
3	5	4	5	5	5	13	12	5	12	4	2	7	4	6	4	3	6	5	9	11
17	22	11	9	17	23	22	23	24	17	16	26	13	12	18	13	8	25	13	20	25
5	12	9	5	5	6	24	20	10	24	14	6	8	10	8	12	8	10	7	24	17
6	5	5	8	8	9	13	0	6	11	4	12	6	4	7	4	5	9	3	4	0
11	12	6	6	7	13	19	14	12	19	7	20	10	6	13	7	6	14	6	13	8
12	23	22	14	23	20	37	39	20	29	28	16	19	22	19	23	15	30	17	31	31
3	4	0	2	2	5	5	3	3	5	5	4	2	2	5	2	2	4	2	5	2
5	7	11	9	9	8	24	17	7	20	12	8	6	10	5	10	10	12	8	17	12
3	4	4	6	7	7	14	10	5	9	6	6	6	5	4	5	3	6	4	7	10
7	6	3	6	6	10	10	5	7	12	3	10	6	3	8	3	3	5	3	5	6
5	34	26	18	26	12	44	36	27	42	30	10	12	23	35	27	24	36	21	40	19
4	19	21	17	17	4	30	21	7	28	22	6	5	21	6	20	21	9	17	21	17
12	18	12	6	11	16	18	21	14	17	14	22	13	12	16	13	10	15	9	18	18
8	6	2	3	4	9	11	2	8	8	2	16	8	2	9	2	2	6	4	2	1
6	17	15	16	16	11	31	14	13	20	16	8	12	13	14	14	14	19	12	16	9
24	27	9	9	15	32	26	27	32	12	10	34	26	8	25	10	8	25	21	12	32
5	14	12	11	19	8	26	23	10	20	16	2	14	12	5	13	13	24	13	19	17
5	7	5	5	5	6	15	12	8	12	8	10	6	5	7	5	3	9	10	7	8
7	21	6	6	10	11	22	15	18	15	15	6	17	7	14	11	5	20	12	17	21
21	33	8	7	17	31	24	29	31	18	15	32	26	8	35	13	7	26	10	19	33
21	39	22	19	27	24	54	32	33	40	29	28	31	22	31	23	19	42	31	32	28
10	11	11	9	10	12	18	16	17	14	14	12	11	11	11	13	9	15	9	15	16
4	21	18	10	24	15	39	32	15	33	28	4	11	20	20	26	17	26	21	36	24
5	19	20	16	19	5	42	30	21	31	25	2	18	18	18	23	16	31	22	34	12
13	26	12	14	15	19	42	24	26	29	22	20	20	12	19	16	9	29	24	29	21
10	27	20	26	30	21	48	33	19	39	31	10	15	24	25	23	16	39	32	28	12
1	0	0	2	2	3	3	2	1	2	0	2	0	0	0	0	0	0	0	0	0
6	16	13	9	14	11	16	15	11	12	15	2	14	13	16	12	10	13	14	13	7
8	15	17	24	24	18	33	24	12	20	19	10	13	17	14	13	16	27	20	12	10
11	17	3	2	12	17	6	16	12	3	4	12	13	3	13	4	3	13	5	4	10
11	25	20	27	31	22	42	28	13	37	21	16	13	19	25	13	19	31	26	16	14
4	22	17	16	16	7	35	22	15	32	27	6	16	16	17	23	14	26	20	27	14
11	18	10	9	14	16	33	23	19	25	16	14	19	12	20	17	10	25	15	21	14
6	16	6	7	7	7	20	13	14	21	12	6	13	5	15	11	5	15	9	14	6
11	14	6	5	6	12	12	15	16	6	8	4	13	5	12	8	6	14	6	7	9
13	17	14	15	16	18	41	31	17	34	19	24	16	15	17	17	13	21	15	27	18
10	10	8	12	13	15	18	11	11	15	9	18	8	9	11	9	7	9	10	13	14
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	12	7	8	8	7	20	14	12	20	13	10	11	7	12	10	7	11	9	16	10
4	10	16	11	12	5	27	22	7	25	17	8	4	16	7	16	16	17	11	22	12
3	4	4	4	4	3	8	3	5	6	8	2	5	6	5	6	3	5	6	6	2
14	16	10	9	10	16	33	19	19	29	14	28	16	10	17	13	8	22	10	20	9
9	19	14	13	16	11	36	20	21	27	22	6	20	15	22	21	11	21	15	27	16
6	13	9	9	11	10	22	17	10	20	12	6	10	10	12	12	9	14	10	20	12
10	23	14	12	13	13	34	21	20	29	20	14	18	13	18	16	12	23	14	23	19
5	10	5	6	7	7	17	14	5	17	9	8	6	7	10	9	5	9	6	17	7
9	23	18	19	23	14	43	31	17	34	19	10	18	18	16	18	16	29	23	29	22
7	13	8	10	10	9	20	11	13	20	10	10	11	7	16	10	7	16	9	10	2
2	16	19	15	15	2	33	23	12	25	21	4	12	18	9	18	16	18	12	26	16
7	25	17	14	17	12	46	32	26	34	28	6	23	17	22	24	14	32	20	35	20
7	6	10	14	15	11	22	14	7	13	11	14	6	11	7	6	8	16	18	7	2
3	2	1	1	1	3	3	1	3	3	1	6	2	1	2	1	1	2	2	1	1
15	32	19	12	20	20	49	35	27	43	25	18	29	17	26	22	14	35	25	32	27
16	21	24	22	26	20	46	33	20	32	27	12	18	27	12	22	18	35	31	26	14
4	8	3	7	7	8	11	0	6	2	5	8	6	4	8	3	4	7	4	4	3
4	6	0	0	2	7	4	2	4	0	0	8	4	0	6	0	0	2	0	0	4
10	5	3	3	6	13	8	2	10	3	3	20	9	3	7	3	3	6	3	3	9
8	18	8	9	12	10	25	11	13	20	13	16	13	8	16	11	8	18	11	14	6
14	28	16	18	20	22	40	31	18	35	20	20	19	16	20	19	16	25	16	25	16
5	19	10	13	15	9	32	18	15	27	18	4	14	9	15	15	8	22	16	21	11
3	15	12	11	12	8	23	17	5	16	15	2	6	10	5	12	6	13	13	15	10
15	25	24	14	23	23	40	46	28	35	29	18	23	23	28	25	17	29	26	37	39
15	34	20	22	24	19	44	19	20	35	26	26	17	20	19	24	19	39	19	30	14
14	24	12	9	11	17	27	15	18	19	15	24	12	11	13	14	14	18	14	11	14
4	27	24	17	19	8	40	27	19	37	35	4	16	25	26	30	20	34	24	35	13
10	7	3	5	6	13	15	6	10	9	3	20	10	3	12	2	2	7	2	2	10
12	21	17	13	17	14	42	33	21	36	22	8	21	19	15	19	16	25	16	31	26
7	24	18	16	18	10	45	24	17	34	19	10	18	18	14	17	16	28	22	22	18
23	19	16	18	17	28	64	37	38	49	24	28	32	16	30	14	17	34	29	27	34
6	6	6	5	8	7	13	10	6	9	6	12	6	6	5	6	6	4	4	6	6
9	12	6	4	7	11	16	12	14	9	9	10	14	6	12	6	6	12	5	9	9
16	25	16	18	27	24	48	30	25	34	20	24	22	16	22	15	14	29	23	23	16
4	21	27	20	26	12	41	42	18	37	33	6	10	27	20	28	24	27	22	40	34
5	6	3	6	7	8	8	5	4	7	3	6	2	3	4	3	2	5	2	3	5
0	0	5	7	7	2	9	7	0	6	4	0	0	5	0	2	5	4	5	4	5
10	21	8	13	13	16	32	16	14	31	14	4	13	10	21	12	4	25	18	20	9
12	33	17	17	18	18	51	38	26	41	28	18	22	17	23	25	16	38	35	35	26
12	32	16	22	22	20	37	20	15	32	17	20	16	16	25	14	12	29	16	18	16
