Non-trivial	Trivial
0.145794	0.181082
3.610739	2.619549
0.688498	0.403104
0.119273	0.106957
0.077008	0.067401
14.346	7.142857
1.031867	0.752047
0.967272	0.613365
0.174608	0.125573
1.93661	1.306843
0.713807	0.677453
0.096853	0.131203
0.172155	0.109902
0.097578	0.098411
0.228605	0.224624
0.139107	0.095096
7.248481	1.218145
3.174354	1.735165
1.000433	0.668787
7.473334	1.361555
1.47E+00	1.216631
0.117475	0.099256
0.165506	0.143741
0.406281	0.329175
0.17284	0.216839
0.957389	0.648363
0.976421	0.708817
0.747303	0.506647
1.27729	0.920357
1.160024	0.804603
0.219513	0.124471
0.595828	0.48774
8.050782	3.700397
0.110712	0.147486
0.348268	0.138003
0.125425	0.116619
0.327018	0.224782
0.203276	0.218543
1.269796	0.859177
0	0
0.450008	0.365054
0.20364	0.094118
2.72605	1.743192
0.930934	0.979567
0.092303	0.183354
0.247946	0.083897
1.798733	2.020338
3.630138	3.22158
0.195131	0.123806
2.614875	0.521557
0.098754	0.164318
0.053499	0.065748
1.893068	1.665997
3.916397	2.349376
0.301907	0.250598
0.057726	0.093791
0.089084	0.096632
2.740798	1.831471
1.014119	0.943746
0.538056	0.353324
2.075773	1.806341
0.771466	0.725804
0.14126	0.106832
0.202814	0.183479
0.189164	0.124016
0.23785	0.173163
0.325648	0.225124
2.035003	1.877239
0.729311	0.406089
2.350876	1.873119
0.173494	0.110048
0.344479	0.121879
1.062897	0.837779
4.437634	2.496423
0.396667	0.36984
0.241992	0.256645
0.126136	0.101777
0.197215	0.136824
0.195835	0.152671
0.101388	0.116212
0.051149	0.083098
0.145679	0.085295
5.178037	4.086336
0.122086	0.227108
1.908713	0.96503
3.0212	2.766412
1.808257	1.3536
0.124634	0.069354
1.735015	1.293923
2.420548	1.604759
1.774109	0.871449
1.888424	2.042996
0.153924	0.162692
1.27046	0.929743
0.137436	0.110481
2.673442	2.556215
0.531944	0.406353
0.225235	0.087013
0.14111	0.101492
5.176648	2.966531
0.274628	0.102874
0.232544	0.113705
0.053262	0.066123
0.197478	0.106262
0.126012	0.191365
0.280679	0.20033
0.220743	0.141054
0.416494	0.273109
0	0
0.410836	0.47722
0.225718	0.271674
0.569155	0.623968
0.240445	0.1742
0.401484	0.295982
0.28518	0.179806
2.364017	1.803006
0.500162	0.290435
0.331503	0.261542
0.35763	0.330675
10.13532	0
0.655986	0.565981
1.623063	1.412204
1.758372	1.631709
1.230394	0.999209
0.262057	0.192917
1.48686	1.106004
0.230234	0.209731
0.943079	0.647154
0.464082	0.286011
1.220595	1.119918
0.115005	0.143508
0.249855	0.172096
0.523151	0.372533
6.287595	5.856399
0.157014	0.164883
0.197989	0.159531
1.977202	2.186875
0.619411	0.808866
0.684389	0.994503
1.058397	0.79134
0.399051	0.243136
0.639597	0.424207
0.916409	0.754429
0.085174	0.089609
0.15379	0.106703
0.372359	0.323021
0.28155	0.201379
1.396733	1.225703
0.310429	0.197932
0.45402	0.446686
0.186762	0.285482
4.786985	3.613034
0.266275	0.271544
0.586146	0.403972
0.053795	0.081251
1.938843	1.404495
8.273001	6.196657
1.325066	0.850687
0.218686	0.166972
0.964934	0.747887
0.045611	0.061429
0.220183	0.174018
0.326249	0.195107
0.818057	0.656299
0.438222	0.300488
1.788794	1.072888
0.20392	0.140393
0.093452	0.084053
0.124481	0.047151
0.473341	0.392844
0.180668	0.168529
1.122141	1.18113
6.138651	5.790768
0.308074	0.146776
