Non-trivial	Trivial
4.89196	3.335567
16.40754	11.73896
2.066125	1.089406
6.65471	6.661282
0.907292	0.710406
0	0
3.940075	3.159994
4.133201	3.0755
162.653	177.9592
71.46253	86.67167
6.50052	10.01037
2.136164	1.694937
2.713889	2.123796
118.6158	92.98933
1.800381	1.563165
1.659706	1.985587
2.817727	1.967513
21.87669	19.44346
3.40404	2.790755
6.818182	5.397727
8.394477	7.624087
2.83851	2.664817
3.686097	3.230079
2.946464	1.862587
0.848376	0.997677
15.28673	9.558516
47.93148	90.00853
100.1114	65.40788
5.543266	3.247791
4.122992	2.8366
2.507355	2.758704
1.822634	1.335589
38.82306	30.08333
14.81216	11.16969
1.256323	0.812721
1.675729	2.011829
1.098694	1.022738
43.88825	30.13641
4.921063	5.083151
0	0
19.97291	21.49827
2.165077	2.165047
64.09305	59.63542
7.399566	5.576316
4.696445	4.469804
1.134567	1.000141
41.44782	58.12069
61.20476	54.28571
1.605316	1.749357
2.316712	1.933464
111.014	92.47176
1.026317	0.960961
18.13836	17.85231
10.49128	11.65895
0.784469	0.91259
0.695063	1.205208
0.924483	1.068769
22.52286	22.41004
5.230016	4.793463
5.525713	5.55596
30.99846	41.59226
11.17441	18.11628
1.806902	1.182847
2.388091	2.313657
1.991302	1.45646
4.55865	4.034651
7.215176	6.944071
4.148483	4.588999
3.034405	3.078118
11.20052	8.785291
3.314992	2.363359
1.678803	1.602557
3.399621	3.604167
22.35584	22.44444
13.24722	13.38669
3.362423	3.658661
5.566189	3.643621
1.959302	1.774851
348.8082	332.3718
1.662128	1.562334
6.13692	4.181946
1.647817	1.198588
40.89261	28.78671
8.300685	10.56777
2.750128	2.337167
13.45363	19.13301
61.21281	65.5202
1.655361	1.338853
3.300107	3.222934
5.683671	4.553271
27.09068	22.68184
11.65108	13.45023
2.333028	1.62772
1.193024	1.223917
2.190181	2.14242
107.1135	119.3225
4.405319	4.115992
2.329937	2.2065
1.367118	0.482515
204.1488	150.4903
1.852847	1.560079
2.867104	2.115124
0.985164	1.171391
1.796697	1.11016
14.0679	18.44312
3.198963	1.92378
1.98207	1.581048
43.54203	33.59955
0	0
5.276158	5.03283
6.929576	6.523431
34.28024	26.50943
12.1332	9.841872
4.479097	3.56628
4.554408	3.606696
9.256948	8.037342
9.762536	11.01139
5.407772	5.593068
3.482614	3.628289
8.718487	0
17.51794	9.927666
5.366783	2.778521
48.67908	39.97294
10.0747	9.333422
134.2147	101.2021
2.403973	3.331685
2.674665	1.917193
8.868611	11.027
0.578264	0.831202
7.644958	7.75786
4.110542	2.502621
3.616615	3.723632
7.886079	8.029021
66.9649	64.0535
1.682719	1.672061
19.46152	5.920188
106.0661	100.8109
28.30752	25.97854
26.89798	26.08411
32.59728	30.53253
1.991882	1.456937
6.48153	5.347283
1.601416	4.171228
0.728523	0.589847
0.676322	0.605151
6.904791	6.877314
46.40078	24.59151
23.53144	23.75633
2.366324	2.237551
1.867746	1.667384
1.764932	3.507009
89.47018	80.30957
5.495128	5.265691
420.8647	319.5802
0.542741	0.260453
72.88432	82.43243
48.86806	0
4.036498	3.583248
1.075716	1.148439
13.93025	13.98432
0.677818	0.60738
5.642903	5.622712
4.269961	2.808949
2.859155	2.172589
6.068295	6.086577
8.194596	8.009549
10.54258	8.665233
0.501034	0.798202
0.655575	0.453886
33.16443	41.12819
0.642071	1.412906
10.25789	9.69463
0	0
1.183257	0.523192
0.636834	0.409221
0.920899	1.666046
195.6446	128.2434
1.671569	1.30723
1.651287	1.714904
4.359124	3.666138
0.75815	0.654962
0.936837	0.912004
0.645414	0.764463
419.068	296.1519
5.136092	2.516032
2.889063	2.797111
0	0
1.000444	0.96163
0.772821	0.749014
38.07537	38.77638
3.300595	1.857143
8.707842	15.05556
32.84366	48.29486
3.459939	2.713986
1.852346	2.466907
1.630003	1.272408
1.137301	0.706198
6.842847	6.31567
1.371338	1.494848
3.106689	4.123867
4.095296	3.540354
1.749021	0.999146
1.640271	1.943164
1.890599	1.64997
2.154045	2.786097
52.76194	46.19577
3.053209	3.031723
55.70969	40.23118
9.154658	10.04955
1.157221	0.990759
15.20718	13.78219
31.45244	31.20377
1.607019	1.173117
1.507753	1.196468
0.958054	1.52225
0.840843	1.42138
0	0
3.16588	2.95698
1.995658	1.876014
38.21991	36.07196
6.977949	3.967639
2.273593	1.244198
9.338401	7.251633
3.427383	4.807073
1.436417	1.117223
2.079728	2.101055
2.905149	2.559793
6.899547	8.136102
29.99825	32
2.498042	3.55275
3.608481	1.812706
2.54286	2.222205
90.90909	171.5909
4.294334	2.502627
2.944122	2.194168
3.408914	2.616153
15.39272	12.74879
2.167828	2.525704
5.733581	6.334355
5.549393	5.286946
74.46545	81.3243
0.92046	1.211168
2.813692	3.050408
1.878287	1.46895
1.58497	1.526685
0.681697	0.577614
4.651464	3.628741
24.84459	21.33333
27.49025	49.02419
6.741482	7.501912
25.19332	17.92303
3.665213	2.724834
4.113867	4.032924
2.282763	1.951595
2.543757	1.993938
1.853715	2.305398
3.126166	2.78229
31.46527	31.93376
15.88485	6.991709
2.743193	2.807196
16.84445	10.32101
1.570967	1.72968
5.507599	1.438035
6.125617	7.65248
41.07155	59.41392
27.4183	49.01961
2.466745	2.464466
3.179776	1.993633
2.0933	2.0932
3.982345	3.265844
1.162813	0.882857
0.921815	0.513002
27.41327	19.71361
2.066718	2.50136
32.98788	25.10288
6.373155	9.204291
135.5197	138.166
3.194695	2.734038
5.348439	5.972082
67.78459	32.87347
17.58346	6.030804
1.92193	2.531014
0.808333	0.925852
9.456466	5.448917
11.4679	13.6519
17.73564	11.71341
0.877637	0.729506
61.83397	61.48647
2.160448	2.10752
17.09395	13.62847
2.578245	2.42139
8.888513	5.880056
0.893851	0.678858
1.155137	1.474408
3.97583	3.562547
36.37421	20.555
5.655312	5.356839
2.195327	3.092958
52.15613	51.89591
6.421016	4.864597
1.120514	0.871157
26.98708	19.41054
0.420288	0.302529
0.545084	0.381321
6.90836	7.496891
0.521828	0.301197
0.562846	0.455068
6.467032	5.461009
0.442166	0.393732
0.688892	0.639594
0.040409	0.073054
0.160939	0.15338
0.739468	0.567564
0.064644	0.048188
0.075516	0.079622
7.295337	6.648465
1.294917	0.859448
10.66164	12.21293
0.23599	0.481505
0.493611	0.407375
0.191351	0.166201
16.04964	8.595904
0.114974	0.330196
0.275547	0.06101
1.081328	0.827181
10.01066	4.284795
0.415397	0.50719
0.109031	0.104497
0.29347	0.183588
0.211479	0.298415
1.443252	1.864208
0.274243	0.132959
0.218809	0.15634
0.097056	0.116181
0.185881	0.207294
0.223672	0.285287
9.436246	12.87037
1.084809	1.19183
0.239565	0.128564
0.205865	0.18078
1.426099	1.239699
0.395161	0.260802
9.799309	12.25588
2.487106	2.087371
4.331026	2.590176
0.387176	0.791523
5.430946	1.904715
0.120426	0.279315
0.248794	0.190866
1.15755	0.853734
0.163514	0.21276
7.675951	7.038008
66.47396	69.55357
0.741411	2.193505
0.196723	0.231536
0.116873	0.148461
0.16482	0.303398
0.177852	0.182555
0.189888	0.286878
0.088675	0.139991
0.195282	0.138538
0.289525	0.153842
0.337712	0.112936
0.134785	0.194843
0.150752	0.135556
0.228374	0.148195
153.1895	189.2857
0.272547	0.167641
0.08826	0.209261
0.16225	0.107947
0.180722	0.158637
0.115769	0.14794
10	0
0.142393	0.123603
0.164204	0.193227
0.136908	0.236281
0.130659	0.164792
0.174984	0.132261
0.184923	0.314986
0.358328	0.173583
0.224746	0.3624
0.185347	0.913105
0.315028	0.471061
0.203486	0.184438
11.27537	9.186927
0.13362	0.26137
0.270483	0.193819
0.150365	0.205672
0.137136	0.213879
0.134876	0.14103
0.213161	0.142237
0.152285	0.13358
0.160804	0.20293
0.324618	0.293171
