Non-trivial	Trivial
0.106657	0.152018
5.068168	4.16618
1.093671	0.849658
0.125273	0.109097
0.080169	0.0858
5.69738	5.494505
0.917383	0.736554
0.999016	0.685107
0.169988	0.170422
2.154047	1.540275
0.777653	0.721505
0.105428	0.168311
0.197537	0.183506
0.123776	0.128368
0.234213	0.273741
0.21005	0.134587
15.90044	3.932537
2.823892	2.025375
1.230313	0.930138
8.559417	1.092796
0.478545	0.639985
0.144035	0.125434
0.122031	0.150541
0.402779	0.463507
0.225056	0.295605
1.25792	0.954391
1.229754	0.992896
2.201552	1.677559
1.868451	1.532039
1.519902	1.390219
0.250839	0.102868
0.531409	0.52232
3.262173	2.888889
0.13151	0.165551
0.301805	0.180479
0.078809	0.118902
0.252277	0.164866
0.333494	0.29071
1.468625	1.035959
0	0
0.416267	0.401928
0.186061	0.146277
3.019231	1.950246
1.355902	3.296703
0.065772	0.190111
0.301735	0.091396
2.397485	0.530284
4.535307	2.950443
0.22231	0.137402
4.733122	0.40655
0.197919	0.233821
0.067507	0.074844
0.618298	1.305405
3.280039	1.431212
0.710737	0.641172
0.124454	0.072515
0.087428	0.123062
1.216859	1.174408
0.71091	0.733806
0.493056	0.311656
2.291703	1.663264
1.02248	1.39063
0.089772	0.113709
0.200053	0.230322
0.257985	0.155293
0.282798	0.211967
0.147553	0.115372
2.190725	2.35353
0.83903	0.514276
2.897518	2.551553
0.212851	0.147655
0.291494	0.160982
0.440425	0.34979
4.96494	1.96415
0.448492	0.419304
0.20712	0.25587
0.212339	0.170128
0.388702	0.143717
0.212743	0.206648
0.146703	0.148132
0.074252	0.086537
0.236321	0.096175
5.740898	4.146686
0.279041	0.198139
2.661968	1.298079
2.002676	1.439684
1.545561	1.216394
0.150124	0.064885
1.826655	1.14962
2.217382	1.501087
1.126712	0.638072
2.894631	2.980207
0.217554	0.199043
0.702544	0.648409
0.219001	0.108217
1.628667	1.886382
0.879418	0.660622
0.586365	0.11398
0.137225	0.124906
7.136823	3.999027
0.251505	0.177667
0.222181	0.162156
0.042512	0.082742
0.273596	0.127108
0.119499	0.149127
0.323061	0.245568
0.2968	0.217732
0.469744	0.369789
0	0
0.376337	0.53133
0.363082	0.454581
1.189814	1.123435
0.270047	0.188647
0.513662	0.35664
0.221781	0.18897
2.656742	2.063614
0.635412	0.566925
0.222152	0.225957
0.261683	0.240149
4.309753	0
1.003212	0.851139
1.095638	1.180551
2.310733	2.340252
1.143568	1.046557
0.295302	0.292233
2.004948	1.532216
0.236006	0.254537
1.024095	0.685396
