Non-trivial	Trivial
0.22633	0.255843
2.707307	2.107676
1.720568	0.509167
0.194342	0.345829
0.08645	0.091271
0	0
0.330651	0.381263
0.269336	0.289243
0.254259	0.232148
0.695893	0.513638
0.73128	0.709233
0.123382	0.224696
0.155212	0.242213
0.147902	0.151706
0.082647	0.119238
0.124306	0.147054
3.857438	0.858687
1.672133	0.886332
0.807956	0.676693
10.93761	2.081259
9.97E-05	0.239155
0.115677	0.1253
0.180294	0.154409
0.467297	0.566845
0.125492	0.184226
1.754572	0.737464
0.327241	0.450712
0.10954	0.080049
1.23867	1.346229
0.95657	1.34053
0.121038	0.127331
0.33854	0.386754
1.123747	1.123747
0.09095	0.124437
0.323935	0.443638
0.062003	0.180379
1.211959	0.67501
0.298301	0.325624
0.606719	0.602879
0	0
0.402782	0.485752
0.288314	0.621633
0.308381	0.282714
1.768524	1.149788
0.159842	0.205373
0.14546	0.364445
4.021136	0
1.439103	1.153069
0.176093	0.342345
2.423402	0
0.110513	0.205479
0.164236	0.091804
0.825543	0.712528
3.94365	1.635082
0.315564	0.287807
0.13992	0.080718
0.130134	0.113676
0	1.098438
0.192656	0.42077
0.198336	0.126349
2.34291	1.558919
0.39752	0.222593
0.098043	0.185102
0.301439	0.209993
0.310751	0.173971
0.54826	0.191006
0.141959	0.287478
0.642814	0.444397
0.51981	0.559131
4.64681	0.320436
0.194817	0.149621
0.357891	0.278394
0.8515	0.480703
3.549111	2.114036
1.178285	0.364169
0.172755	0.167934
0.345962	0.317189
0.254893	0.112882
0.193651	0.155792
0.224025	0.176138
0.127334	0.084987
0.138484	0.106632
3.910481	2.88336
0.106713	0.146081
1.315638	0.84641
1.203122	1.143692
1.194165	0.956092
0.142975	0.104074
0.751394	0.166739
1.700976	0.765352
1.139302	0.734443
1.569699	2.942116
1.278951	0.318837
0.405298	0.414953
0.175413	0.255208
1.699018	1.377485
2.704269	0.509685
0.085418	0.103203
0.110045	0.09673
2.908668	2.037781
0.311284	0.099864
0.394873	0.097558
0.182714	0.078346
0.711565	0.117169
0.672646	0.214859
0.27486	0.216205
0.379401	0.161991
0.25482	0.245121
2.79594	0
0.554812	0.590769
0.197683	0.185277
0.584593	1.593294
0.10651	0.117994
0.593939	0.208757
0.524278	0.208203
1.353436	0.841256
0.440984	0.259796
0.721247	0.349729
0.468689	0.674424
1.563584	0
0.728042	0.472956
0.768356	0.799938
1.104638	0.91118
0.942543	0.619255
0.766021	0.934757
1.742522	2.888517
0.279246	0.187772
1.092098	0.611616
0.400621	0.357662
0.683895	0.766039
0.109066	0.114487
0.190559	0.165947
0.267719	0.156983
1.197373	1.820347
0.240644	0.302198
0.230971	0.185985
1.192867	1.180323
0	0
0	0.649635
1.225069	0.506075
0.321233	0.324296
0.124427	0.130983
0.666278	0.508288
0.248418	0.129754
0.134236	0.108737
0.359457	0.156531
0.378495	0.157545
0.666606	0.450829
0.236457	0.124558
0.178664	0.133305
0.048823	0.042384
2.00294	2.279674
0.105605	0.116311
0.472102	0.224668
0.075189	0.094898
1.22056	1.065808
0.718674	2.719202
0.735698	0.417745
0.097516	0.174771
0.303836	0.312999
0.387187	0.137484
0.354191	0.213031
0.251007	0.199003
1.957185	0.604762
0.173793	0.171149
0.854915	0.489927
0.251989	0.146867
0.245686	0.105162
0.222684	0.051672
0.429773	0.231639
0.136805	0.129374
1.441512	1.11585
0	3.273098
0.223845	0.131237
0.062691	0.067011
0.173134	0.16868
0.664643	0.699583
0.20848	0.060376
0.195273	0.330593
0.997077	0.935389
0.249945	0.081036
0.059936	0.060958
0.150558	0.094195
0.871228	1.185213
0.369061	0.205564
0.577253	0.293412
0	0
1.239806	0.083571
0.292106	0.06962
0.474648	0.284535
3.069004	2.204478
2.318388	2.126385
8.660861	3.075893
0.165771	0.214171
0.258084	0.123194
0	0.135452
0.06526	0.062771
0.466415	0.191449
0.329068	0.131178
0.213547	0.163984
0.482495	0.501794
0.839094	0.054574
0.094391	0.090335
0.190576	0.157385
0.110269	0.09798
1.023822	0
0.134445	0.118778
2.005089	1.939161
2.418897	0.309677
0.097102	0.092247
0.46055	0.222951
0.504192	0.345957
0.852583	0.092424
0.157271	0.103003
0.051774	0.073488
0.450183	0.144911
0	0
0.071347	0.060838
0.213652	0.158651
0.253893	0.192963
0.141496	0.09244
0.099264	0.086696
0.168322	0.10993
0.170187	0.10702
0.111111	0.067029
0.383487	0.292474
0.207093	0.086676
0.259322	0.191724
2.063943	3.124016
0.140001	0.068134
0.161998	0.070273
0.064687	0.076515
4.97672	3.314357
0.164725	0.122028
0.225763	0.07326
0.186623	0.13553
0.148054	0.122505
0.170564	0.088438
0.127488	0.08299
0.172933	0.209105
0.198769	0.133643
0.165675	0.062041
0.094083	0.087201
0.0986	0.060592
0.109584	0.03122
0.018044	0.031304
0.201142	0.119672
4.512328	4.142659
0.27475	0.142434
0.21186	0.075859
0.444098	0.235652
0.150722	0.060876
0.063258	0.072192
0.38018	0.196433
0.248363	0.07542
0.100002	0.114779
0.083371	0.116344
0.158331	0.143284
0.095708	0.062966
0.135989	0.106992
0.098049	0.06552
0.353206	0.235609
0.050834	0.027237
0.134274	0.086514
1.463129	0.768379
1.388634	1.352485
0.296954	0.104044
1.514176	1.296344
6.708968	1.477037
0.17183	0.194357
0.14215	0.064779
0.177276	0.152781
0.170815	0.103198
0.099449	0.116274
3.579977	0.310939
1.141924	1.607116
0.121157	0.201697
1.7806	0.99145
1.2404	1.199269
0.714632	0.572227
0.7124	0.476737
0.188367	0.171765
0.131446	0.268139
0.25333	0.302861
1.247661	1.291432
0.202367	0.124179
0.187366	0.057881
0.180185	0.289354
0.316526	0.049941
