Non-trivial	Trivial
0.182363	0.221976
1.847925	1.770578
3.588122	0.290017
0.299241	0.366274
0.088413	0.081399
0	0
0.387423	0.477893
0.290314	0.236317
0.371121	0.205074
0.646614	0.437143
0.319393	0.459815
0.14104	0.198105
0.149474	0.208308
0.096515	0.161568
0.029102	0.103072
0.117418	0.139725
3.980183	1.169791
1.516075	0.589834
0.635467	0.504744
17.26205	5.934285
9.87E-05	0.171806
0.072919	0.113754
0.175074	0.155605
0.435456	0.566446
0.11266	0.190414
1.832161	0.537333
0.348651	0.584567
0.247745	0.074952
1.03542	1.411648
0.83267	1.380726
0.137067	0.117573
0.345982	0.363373
0.868043	0.868043
0.142203	0.115544
0.34774	0.606028
0.053391	0.223554
2.336342	0.754087
0.301832	0.354434
0.538877	0.556003
0	0
0.451667	0.514296
0.958874	0.7519
0.063809	0.295104
2.181454	1.218903
0.192568	0.198062
0.139757	0.483392
4.901056	4.711952
0.975416	0.778956
0.155509	0.486158
3.594868	0
0.176267	0.204923
0.177172	0.077372
1.113934	0.913997
2.975151	1.705522
0.345029	0.388033
0.140991	0.084277
0.137455	0.121691
0	1.12403
0.229612	0.347113
0.146029	0.121044
4.048414	1.616119
0.36325	0.148979
0.081139	0.152977
0.291473	0.177561
0.348535	0.16651
0.7655	0.224479
0.119553	0.27746
0.266369	0.343402
0.60816	0.837527
5.819372	0.00456
0.210649	0.171363
0.307649	0.281758
0.923652	0.37658
3.426132	1.289677
1.962931	0.501023
0.29554	0.195781
0.481887	0.401825
0.350852	0.090476
0.144024	0.14208
0.251778	0.160057
0.161859	0.074063
0.156507	0.090529
6.614307	1.793298
0.089808	0.142216
0.937983	0.907111
0.986312	0.957136
1.12047	0.743491
0.131171	0.113923
0.774184	0.352328
3.050438	0.863438
1.298519	0.786707
1.272118	2.520234
2.407428	0.284999
0.318412	0.413898
0.162927	0.257785
0.768786	1.014545
3.85693	0.491976
0.108441	0.144056
0.061703	0.09388
2.56281	1.775847
0.294497	0.058293
0.77756	0.061657
0.309031	0.077208
1.017962	0.103708
0.585834	0.225965
0.185141	0.189269
0.590506	0.194891
0.22978	0.257484
0	0
0.759244	0.592805
0.387164	0.205631
0.39428	1.570981
0.087232	0.118494
0.852444	0.18077
0.568006	0.166536
1.109923	0.544663
0.298067	0.202898
1.897844	0.365723
0.422368	0.807799
0	0
1.080862	0.43688
0.820552	0.790967
0.937418	0.966329
0.905649	0.466451
1.212136	1.128251
1.580623	3.387819
0.320122	0.202028
1.294478	0.483442
0.473939	0.322629
0.627525	0.515156
0.136176	0.09859
0.175821	0.159435
0.245733	0.170862
0.996332	1.687656
0.360425	0.350532
0.266361	0.213018
0	1.350686
0	0
0	0.492628
1.609345	0.348655
0.474875	0.318979
0.204897	0.082865
0.644253	0.536859
0.369499	0.147501
0.204226	0.0905
0.423953	0.132656
0.548166	0.144933
0.70876	0.602565
0.235238	0.125242
0.101163	0.107551
0.043965	0.041225
2.469561	2.227814
0.088821	0.101975
0.360656	0.231908
0.155571	0.100655
0.80204	1.097558
0	3.836805
0.587937	0.260007
0.064606	0.206136
0.314307	0.278147
0.41952	0.163507
0.327633	0.148345
0.205944	0.236653
2.376794	0.568685
0.13754	0.254806
0.844287	0.468412
0.512581	0.146684
0.206843	0.109848
0.28695	0.047893
0.487676	0.197808
0.114235	0.14289
1.375616	0.763656
0	3.056489
0.244213	0.098845
0.088724	0.066047
0.163674	0.113779
0.89865	0.623622
0.236344	0.05372
0.204185	0.349889
1.375507	1.084593
0.201461	0.086816
0.061313	0.062288
0.225892	0.08368
1.369402	1.079462
0.454661	0.15361
0.67455	0.252026
0	0
1.438659	0.07122
0.347467	0.070971
0.29369	0.331952
4.063618	3.241009
1.992031	1.143406
11.03381	5.027169
0.169926	0.165619
0.496058	0.194834
0	0.115421
0.075057	0.06468
0.547057	0.148613
0.318947	0.130748
0.107644	0.148204
0.646064	0.570241
1.626707	0.045398
0.08821	0.079539
0.174811	0.137731
0.075681	0.078787
0.446349	0
0.102398	0.11842
1.880914	1.81985
3.100634	0.37853
0.113173	0.077392
0.429362	0.125914
0.414863	0.315383
1.382826	0.086148
0.131172	0.106571
0.048662	0.066816
0.58768	0.101248
0	0
0.053366	0.043331
0.198141	0.123718
0.165337	0.113681
0.174591	0.078863
0.071213	0.090001
0.194188	0.108351
0.150337	0.0919
0.104021	0.049054
0.375997	0.359914
0.295855	0.076478
0.187084	0.180413
0.599121	3.369623
0.182558	0.056706
0.200889	0.060971
0.040555	0.05673
4.756357	2.289949
0.170811	0.106126
0.3143	0.052255
0.146327	0.126051
0.143127	0.128667
0.201542	0.076342
0.120046	0.069725
0.238886	0.274984
0.138961	0.106288
0.206252	0.05043
0.11705	0.088189
0.123813	0.05126
0.189481	0.030707
0.013218	0.026546
0.188487	0.12287
6.511224	2.661733
0.387697	0.104208
0.301037	0.081842
0.534253	0.22838
0.1871	0.056993
0.092587	0.067477
0.370957	0.1638
0.19224	0.045355
0.112238	0.112071
0.048729	0.101022
0.116875	0.127417
0.074843	0.056247
0.093744	0.090092
0.087445	0.055384
0.364648	0.200189
0.058049	0.022329
0.136728	0.071979
1.468322	0.876545
0	1.223319
0.425513	0.108819
1.01067	0.772041
7.691225	1.157321
0.203571	0.157673
0.105332	0.064445
0.221067	0.196759
0.153677	0.093995
0.129647	0.134947
4.686042	0.209815
1.326456	0.405988
0.094254	0.241161
1.798725	0.810024
1.738198	1.52876
0.587462	0.40442
0.687144	0.362258
0.169838	0.118782
0.201747	0.229605
0.231917	0.305007
2.333601	1.582706
0.305592	0.106777
0.364224	0.050066
0.171255	0.287121
0.53888	0.034791
0	0
0.517059	0.083376
0.077461	0.057214
0.211759	0.05541
0.008565	0.053387
0.078473	0.058321
0.69661	0.095256
0.341997	0.24624
0.527702	0.481064
0.697538	1.612883
0.192005	0.074791
0.009387	0.04151
0.140647	0.080641
0.034185	0.026265
0.027884	0.029576
0.243441	0.114488
0.186381	0.021252
0.128794	0.026697
0.205038	0.188677
0.207758	0.072832
0.566338	0.273977
0.39893	0.11151
0.116837	0.027573
0.026347	0.025266
0.39864	0.082421
0.123983	0.268923
1.006677	0.364668
0.313335	0.111917
0.617408	0.228139
0.12569	0.062119
0.015618	0.029485
0.062396	0.083745
1.65035	4.402562
0.053303	0.041635
0.096664	0.071627
0.145004	0.086126
1.445389	0.46337
0.193052	0.036407
0.08172	0.08014
0.05353	0.07911
0.061262	0.051096
0.095595	0.124921
0.034187	0.235808
0.028691	0.046723
0.096442	0.067699
0.173141	0.066614
0.128873	0.069691
1.53423	0
0.410819	0.324362
0.120185	0.061526
0.114508	0.515526
0.924614	0.069565
0.058847	0.096668
0.755998	0.850498
0.178895	0.173927
0.685091	0.305915
0.032916	0.033595
3.663121	0.786986
0.004764	0.0834
0.081571	0.066741
0.045611	0.063832
2.057674	0.022891
0.183092	0.53186
2.53143	1.97477
0.140656	0.048618
0	0.017657
0.167336	0.044098
0.05321	0.037845
0.083892	0.043295
0.049802	0.024624
0.089334	0.053329
0.274844	0.097402
0.175702	0.037563
0.071072	0.037924
0.031401	0.034537
0.011723	0.021871
0.649248	0.041304
1.862746	2.558999
0.136649	0.054381
0.091236	0.058377
0.29971	0.055272
0.082969	0.046113
