Non-trivial	Trivial
0.278025	0.273127
4.85549	4.126389
0.708322	0.771205
0.194282	0.150467
0.246425	0.102938
14.23347	14.23347
26.8658	18.36961
0.410304	0.446981
0.207177	0.195123
36.61541	16.66375
0.9421	0.94053
0.286881	0.171828
0.262609	0.18486
0.187784	0.154533
0.098739	0.083012
0.161622	0.112782
2.930734	1.69409
2.196203	1.154587
0.962634	0.827957
0.558608	2.73003
1.736378	2.888395
0.201027	0.153446
0.267592	0.156165
1.112116	0.901782
1.089399	0.229446
0.343327	0.123558
2.434578	2.483504
0.327915	0.166786
0.731778	0.195259
0.183416	0.370801
0.263367	0.089148
0.209073	0.144633
3.654671	4.880552
0.119183	0.116409
0.211149	0.221533
0.213111	0.133261
0.331903	0.343015
0.309547	0.161281
2.602094	9.097757
0	0
0.654443	0.803406
0.221738	0.214554
1.451137	1.3634
4.647414	2.817286
0.320677	0.295544
0.231972	0.26028
4.069664	3.166018
15.83107	12.62141
0.168505	0.189148
2.789781	2.241076
0.211237	0.175394
0.281359	0.080633
2.060773	3.089376
40.566	55.11441
0.274781	0.255248
0.144856	0.196843
0.623119	0.086573
5.228157	2.763334
1.86082	1.325069
0.313078	0.281532
1.7576	1.763687
0.957851	0.497378
0.31942	0.127043
0.34635	0.349559
0.207249	0.179777
0.201668	0.234105
0.425376	1.137873
1.227111	0.983968
0.720122	0.493532
3.841146	5.808107
0.382207	0.162724
0.336257	0.174193
1.401168	0.793606
26.58902	14.73887
0.559734	0.259145
0.597978	0.177093
0.162234	0.128368
0.195555	0.1602
0.129482	0.182445
0.092141	0.101852
0.119977	0.093155
0.169783	0.077546
2.0145	1.887652
0.266032	0.209583
1.150094	1.058223
38.83528	0
1.218484	1.5345
0.160694	0.149324
7.990714	3.807383
5.937726	12.41215
0.886592	1.568531
2.126976	3.17116
0.196385	0.073239
0.650356	1.0782
0.214922	0.110748
2.806419	2.806419
0.735587	0.448944
0.138787	0.257556
0.241422	0.088956
2.614464	4.137091
0.252449	0.181937
0.368173	0.136821
0.117037	0.102534
0.264024	0.20556
0.246804	0.208733
0.193497	0.181981
0.194628	0.14942
0.287945	0.167426
0	0
0.479087	0.518367
0.537891	0.082842
0.688644	0.847634
0.137348	0.287714
0.227016	0.261507
0.250062	0.177289
2.458289	1.317191
0.47905	0.550732
0.682894	0.347023
0.529193	0.577765
0	0
0.636724	0.383033
10.31555	9.672138
2.399157	2.400964
1.006562	1.151703
0.260766	0.215237
0.873482	1.050686
0.298441	0.271105
1.102245	0.6547
0.215504	0.507538
2.092383	1.359195
0.191402	0.183988
0.113968	0.227353
0.325014	0.687222
3.501944	3.538424
0.184039	0.112976
3.259416	0.225126
3.175075	6.260916
2.386254	2.214472
2.369419	3.249021
1.255	0.717622
0.249103	0.336719
1.232224	1.176428
0.728505	0.989692
0.132655	0.125511
0.359186	0.186211
0.850847	0.56151
0.213512	0.138893
2.83841	0.860392
0.373047	0.137572
0.481161	1.135205
0.122979	0.082087
2.55039	2.003525
0.559932	0.51045
0.536693	0.574105
0.129209	0.067505
3.088363	2.608394
1.682906	15.53313
0.406087	0.732304
0.135993	0.245696
2.099646	0.74757
0.054357	0.05838
0.281127	0.203329
0.387358	0.236326
0.303679	0.507221
0.324306	0.476146
1.280984	0.777338
0.641131	0.215301
0.114575	0.097122
0.0943	0.070024
0.55322	0.404714
0.333208	0.798697
1.283763	1.240236
3.098628	4.038952
0.320871	0.213968
0.102496	0.183479
0.406389	0.704727
19.01697	27.97736
0.083791	0.099947
0.360217	0.46072
0.759742	0.691968
0.130159	0.08061
0.059361	0.047917
0.124309	0.092919
0.658693	1.036872
0.161654	0.187831
0.207996	0.271099
0	0
0.084238	0.266545
0.138197	0.083468
0.683619	0.671994
20.72823	10.06718
18.28938	9.212181
4.56477	2.533511
0.284408	0.217087
0.164448	0.389557
0.123373	0.123497
0.146194	0.079151
0.316854	0.218052
0.246971	0.227251
0.383516	0.266249
0.289042	0.219147
0.044844	0.082364
0.096741	0.149591
0.368341	0.174127
0.11639	0.033341
1.178656	2.345831
0.155408	0.171742
1.444549	1.089361
0.366212	0.574985
0.100506	0.083979
0.312714	0.32937
0.428465	0.555318
0.117778	0.137695
0.176061	0.159664
0.054078	0.038442
0.124573	0.318843
29.86208	0
0.103723	0.095129
0.586695	0.481431
0.399508	0.39089
0.114137	0.137837
0.133088	0.132837
0.202344	0.160462
0.144079	0.164332
0.101692	0.066436
0.290087	0.571266
0.141224	0.116994
0.165873	0.276393
6.043335	8.916617
0.098046	0.1244
0.10632	0.044696
0.040262	0.045166
0	0
0.215109	0.212605
0.126576	0.11788
0.099236	0.202712
0.078096	0.069428
0.093859	0.248816
0.089382	0.138796
0.08898	0.14596
0.179917	0.123257
0.049827	0.089915
0.07854	0.100064
0.047223	0.056057
0.045337	0.037303
0.061537	0.041406
0.314062	0.145966
1.209579	0
0.215195	0.104403
0.071781	0.078625
0.194846	0.252009
0.067007	0.067644
0.065157	0.080802
2.712779	4.753549
0.111009	0.133055
0.180784	0.209747
0.036201	0.072375
0.201919	0.122826
0.068238	0.08795
0.110142	0.107979
0.055995	0.077227
0.361877	0.604932
0.283074	0.036725
0.119691	0.066985
2.559452	1.399661
8.692244	6.555434
0.163154	0.138973
1.263936	1.237899
2.1774	2.388311
0.210803	0.116512
0.15422	0.094495
0.111933	0.053392
0.189011	0.231625
1.098322	0.175531
2.044515	0.860787
4.950412	5.1699
0.347199	0.336456
25.91352	7.89E-14
17.40312	4.626866
0.85272	0.550316
1.445082	2.007038
0.19138	0.301239
0.437835	0.331007
0.140618	0.145222
1.537409	1.835326
0.368173	0.240171
0.104227	0.08383
0.233794	0.174796
0.166545	0.077224
8.204549	8.204549
0.068628	0.132565
0.071694	0.073531
0.069821	0.071729
0.066203	0.047116
0.164297	0.079596
0.199022	0.070399
0.17188	0.099646
0.42055	0.322169
4.280488	5.193192
0.133328	0.07158
0.075008	0.044079
0.161697	0.057639
0.051842	0.02903
0.054056	0.065125
0.048472	0.310355
0.039127	0.030571
0.037782	0.051882
0.366638	0.380954
0.033141	0.058764
0.231761	0.244376
0.221366	0.119038
0.097804	0.094802
0.033797	0.021813
0.120706	0.182232
0.184937	0.163859
2.243626	3.223936
0.076213	0.062608
0.704467	2.831912
0.03435	0.051882
0.041235	0.027637
0.101927	0.13289
10.15675	6.327167
0.07648	0.055984
0.154885	0.157081
0.141629	0.080302
3.542788	0.729565
0.099758	0.029527
0.061033	0.039735
0.186695	0.101026
0.068618	0.080819
0.89018	0.413526
0.078398	0.102173
0.046289	0.056336
0.067246	0.086853
0.045692	0.081457
0.052016	0.130973
5.47847	4.55666
1.541996	0.883859
0.065599	0.065454
0.074344	0.06804
0.106868	0.082012
0.175856	0.100064
1.222206	1.994915
0.2062	0.158497
0.27692	0.100102
0.05554	0.055899
1.721113	1.998024
0.056737	0.052221
0.077027	0.053257
0.162524	0.068846
0.048687	0.031621
0.824945	1.039804
1.491528	2.988368
0.044754	0.107432
0.033297	0.016248
0.072647	0.057854
0.046416	0.083699
0.106009	0.094321
0.044891	0.038132
0.10522	0.069094
0.133699	0.079537
0.08969	0.053007
0.125395	0.058675
0.03901	0.040533
0.035928	0.035567
0.035287	0.065933
2.629723	2.490808
0.055914	0.043145
0.083308	0.049662
0.085093	0.0564
0.042402	0.070653
0.069566	0.047885
36.61202	0
0.048819	0.11733
0.138958	0.074489
0.056693	0.060851
0.0724	0.055111
0.053864	0.064192
0.061858	0.047151
0.130456	0.069312
0.058254	0.066466
0.086988	0.191093
0.033296	0.022975
0.072338	0.045435
0.717524	0.436281
0.071449	0.044493
0.08185	0.050701
0.038271	0.045879
0.077549	0.040468
0.052039	0.037439
0.044614	0.026685
0.05791	0.062572
0.027579	0.029796
0.041055	0.055282
0.090553	0.090964
0.028733	0.064281
4.385604	10.06779
0.048826	0.027985
0.042296	0.032764
0.066698	0.064403
0.054186	0.021131
0.036368	0.023472
0.065127	0.068657
0.059507	0.036524
0.104785	0.108852
0.064539	0.058145
0.589995	0.35222
0.140681	0.072538
0.067514	0.052915
0.117665	0.112221
0.083174	0.042862
0.046263	0.034586
0.061011	0.090877
0.049132	0.069274
0.13412	0.039352
0.042084	0.108787
0.122245	0.086464
0.084704	0.127908
0.07705	0.033261
0.089415	0.083484
0.147955	0.157839
0.120284	0.08594
0.043575	0.092139
0.122495	0.088115
0.063435	0.046131
0.115009	0.097113
0.049139	0.030453
0.115201	0.079301
0.060334	0.112589
0.094998	0.113646
0.054654	0.127099
0.359173	0.635745
0.154565	0.074383
0.033292	0.058971
0.046289	0.081941
0.053156	0.082289
0.087072	0.029187
0.045842	0.085504
0.140535	0.077259
0.080785	0.093056
0.096726	0.065861
0.105194	0.059788
0.048652	0.032335
0.185113	0.079764
0.111073	0.107811
0.092925	0.055121
2.632781	4.777098
0.137401	0.081577
0.117818	0.096469
0.135934	0.119398
0.130435	0.105596
0.121762	0.089067
0.119846	0.111555
0.106716	0.066343
0.079218	0.062532
0.075258	0.0778
0.797067	2.037014
0.058515	0.11888
0.087261	0.092399
0.069413	0.066353
0.083026	0.045183
0.044798	0.066399
0.172574	0.066236
0.137796	0.117303
0.065568	0.076504
0.054043	0.033328
0.05767	0.053025
0.098809	0.091498
0.0979	0.113956
0.046884	0.052841
0.051627	0.055672
0.108047	0.085825
0.02752	0.080054
1.851298	0.419525
0.106047	0.063096
0.084847	0.0517
0.050124	0.058535
0.068788	0.043823
0.096278	0.126199
0.079646	0.051131
0.077814	0.078566
0.051066	0.032142
0.072962	0.043132
0.076443	0.084073
0.09928	0.099358
0.155522	0.131343
0.131502	0.102842
0.048259	0.139955
0.153322	0.1375
0.455699	0.414422
0.202807	0.192209
2.796856	3.35692
0.136257	0.130014
3.146179	3.771267
0.09309	0.07377
0.104178	0.117099
0.109283	0.091242
0.085455	0.102359
0.24337	0.143881
0.212398	0.1554
0.062346	0.046571
0.025537	0.062803
0.145506	0.164949
0.066724	0.079096
0.08854	0.065946
0.271491	0.20912
0.13181	0.128916
0.252714	0.147739
0.169694	0.1332
0.102953	0.076633
0.083124	0.059269
0.363413	0.90478
0.052368	0.060093
0.153679	0.172426
0.041024	0.036325
0.023582	0.05209
0.324267	0.435246
0.061105	0.043146
0.048246	0.036679
0.128902	0.100999
0.145668	0.110414
0.08352	0.076624
0.109162	0.093141
0.033682	0.035339
0.147614	0.175043
0.054261	0.03932
0.068743	0.099922
0.122761	0.072853
0.803042	0.516692
0.042367	0.081151
0.138965	0.250553
0.149782	0.16334
0.040851	0.04659
0.286722	0.127565
0.679324	0.532141
0.503676	0.828581
1.684171	1.203408
0.297636	0.613369
1.540115	4.823723
5.391633	7.391029
0.033022	0.022361
0.086582	0.152783
0.164032	0.068421
0.041369	0.025086
0.130048	0.093478
0.224721	0.115336
0.064769	0.052751
0.188574	0.184006
0.101662	0.121317
0.308018	0.196046
0.057239	0.056234
0.136799	0.215079
0.040104	0.088319
0.24054	0.160125
0.789649	1.027142
0.095752	0.133672
0.236317	0.048106
0.085509	0.083749
0.106583	0.162212
0.082075	0.091784
0.094169	0.104981
0.102629	0.16116
0.20112	0.109962
0.106393	0.057343
0.243566	0.132957
0.040903	0.033617
0.074128	0.0902
0.23846	0.47494
0.304057	0.416399
0.054201	0.036514
0.026549	0.023303
0.038707	0.020767
0.075772	0.070432
0.3135	0.193876
0.115589	0.096255
0.075949	0.067528
0.090985	0.081719
0.072979	0.064003
0.249054	0.132551
0.357996	0.18112
0.158855	0.264827
0.058757	0.156207
0.879126	0.609071
0.051732	0.03255
0.175792	0.125944
0.033763	0.105182
0.111409	0.065216
0.096988	0.063756
12.72606	15.03019
2.05667	0.686606
0.107198	0.102826
0.140327	0.115136
0.350744	0.273845
0.082374	0.11447
0.096013	0.226849
0.317565	0.194133
0.061422	0.077656
0.040465	0.078994
0.159832	0.077166
0.062642	0.075821
0.182613	0.185025
0.269738	0.233432
0.112841	0.33824
0.164146	0.115846
0.097308	0.082757
0.180464	0.148579
0.784879	0.819696
0.093977	0.114801
0.087091	0.095082
0.052199	0.050707
0.796879	0.950349
0.052163	0.038274
0.03834	0.043177
0.324654	0.273241
0.102987	0.090215
0.061145	0.109362
0.077177	0.057567
0.89215	1.020815
0.307422	0.086149
0.06735	0.073405
0.107457	0.291804
0.087795	0.095559
0.036353	0.050937
0.081122	0.051809
0.087703	0.088259
0.034247	0.054236
86.07342	70.55735
0.13019	0.205063
0.044407	0.040373
0.157485	0.097448
0.08192	0.061993
0.08022	0.095566
0	3.506029
0.227466	0.248661
0.084844	0.098745
0.143851	0.279638
0.113211	0.066883
0.137125	0.153139
0.067787	0.060163
0.195733	0.091392
0.282164	0.258542
0.174423	0.246359
0.082644	0.109133
0.06947	0.040372
0.205642	0.09653
0.08607	0.069518
0.053487	0.048376
0.064339	0.062616
0.200762	0.11704
0.078852	0.077077
0.057421	0.223353
0.055194	0.063494
0.078307	0.044449
0.08131	0.062922
0.081612	0.051754
0.063548	0.050376
0.090106	0.094658
0.05023	0.041812
0.188621	0.223431
0.079666	0.046673
0.06947	0.088249
0.077447	0.155164
0.108909	0.156609
0.16949	0.174089
0.105273	0.157848
0.17748	0.143452
0.08349	0.05648
0.086029	0.06358
0.480355	0.268473
0.12207	0.131852
0.09505	0.05499
0.06546	0.044099
0.062105	0.042889
0.165484	0.080573
0.675494	0.803339
0.02443	0.04369
0.498944	0.470662
0.080997	0.114544
0.126581	0.08945
0.442136	0.178336
31.2191	30.91188
0.472904	0.753534
0.046498	0.067248
0.089559	0.133911
0.10298	0.086354
0.233085	0.229662
0.388482	0.188173
0.070904	0.153506
0.136357	0.128198
0.253694	0.178822
0.425342	0.38077
0.447591	0.487609
0.064661	0.072665
0.209626	0.071961
0.285567	0.225047
0.071301	0.073383
