Non-trivial	Trivial
0.305773491	0.208524547
0.12914379	0.733866632
0.415954731	0.068104731
0.05671057	0.416433192
0	0.044411367
0.246275621	0
0.258347022	0.197548518
0.406317037	0.192266336
0.133521599	0.625803011
0.169632481	0.105959788
0.112533378	0.132770111
0.103740443	0.097721999
0.176122908	0.12412991
0.212770585	0.123000005
0.4261726	0.174465368
0.524699412	0.337441454
0.177421956	0.476623402
0.230400647	0.166592294
0.184169654	0.201929915
0.053028007	0.116440507
0.955501843	0.062370249
0.346483576	0.597555145
0.257708905	0.203037189
0.156723009	0.17733139
0.113924309	0.172461684
0.925838696	0.083494978
0.078526862	0.698278449
0.104741966	0.050807637
0.068674212	0.125770441
0.307592583	0.063936949
0	0.317775587
0.135328815	0
0.462512189	0.135348936
0.293552764	0.34860603
0.070916465	0.279431909
0.100340779	0.062524287
0.144806809	0.10936188
0.064150265	0.120871416
0.65576074	0.060074931
0.04903348	0.728864769
0.04344513	0.057050995
0.057785099	0.075344148
0.326903787	0.066814599
0.34538642	0.299665605
0.698459994	0.347333465
0.112940975	0.073946239
0.149268375	0.144639361
0.124466955	0.091051285
0.284939845	0.252228114
0.450986834	0.43411188
0.259302228	0.286883441
0.189666434	0.192430001
0.700092008	0.549216619
0.207204612	0.147746505
0.104934107	0.100184608
0.212494375	0.225316203
0.828021632	0.836875252
0.210169302	0.228722921
0.347916385	0.227782689
0.122466785	0.110955649
0.103891831	0.097670048
0.383590105	0.26143633
0.102997317	0.074930295
0.518836914	0.660649136
0.171897611	0.1461091
0.840923353	0.083699028
0.103468857	0.201483242
0.206274221	0.284649888
0.355259635	0.840847485
0.728254402	0.101757685
0.145826645	0.07651375
0.074570338	0.133934399
0.136897949	0.257313185
0.275355843	0.13794039
0.145633441	0.030164653
0.085452138	0.097529076
0.115812782	0.132227976
0.179209233	0.073230062
0.061577984	0.069402177
0.112303108	0.120266016
0.879318492	0.098839963
0.199952183	0
0.123889906	0.314629746
0	0.407815372
0.329787907	0.615269279
0.433135317	0.22294768
0.758389463	0.225474305
0.27996736	0.502458233
0.284674697	0.68838225
0.578608432	0.349653289
0.610210368	0.226824201
0.338014481	0
0.217681878	0.620632732
0.544951758	0.173700553
0.335452451	0.583483287
0.629722276	0.208281862
0.150261085	0.119854226
0.167180773	0.689358116
0.554335306	0.051962986
0.036144572	0.484986284
0.477850492	0.156452535
0.256930714	0.232784614
0.226057652	0.501938042
0.492921836	0.104529684
0.105178878	0.370103351
0.124503208	0.091081105
0.405130061	0.334287924
0.100097008	0.26076629
0.045536558	0.036874564
0.042273718	0.037831301
0.431586122	0.429938535
0.147907822	0.139881558
0.116744048	0.104237299
0.110317627	0.219242325
0.343474695	0.329187161
0.033924196	0.016282342
0.252302571	0
0.067237965	0.224008442
0.870714636	0.071795207
0.042367226	0.874236374
0.352711418	0.037970648
0.266895249	0.351506498
0.178712378	0.175602774
0.379300678	0.135820428
0.512205787	0.380505238
0.658967262	0.500720741
0.031317287	0.541711136
0.040976921	0.049899975
0.040132849	0.028374898
0.641172625	0.088328486
0	0.606064376
0.073959849	0
0.039805508	0.032707595
0.05756108	0.025582644
0.104481943	0.104153653
0.103214211	0.081722101
0.27246841	0.107208034
0.047388403	0.22919035
0.05855729	0.040945259
0.040341804	0.057014361
0.321033038	0.047790766
0.180581787	0.15729093
0	0.174862716
0.062533065	0
0.048305418	0.060116754
0.206304723	0.046824964
0.544286389	0.116100172
0.21626457	0.941205448
0.115781466	0.169666117
0.101883848	0.154219857
0.071087355	0.079545187
0.427714293	0.044148302
0.085715911	0.394827095
0.194184568	0.093451129
0.255977758	0.257805494
0.109323105	0.221326903
0.102525652	0.062462084
0.118172482	0.121477816
0.134639257	0.103148654
0.190841784	0.174174171
0.572214763	0.189529596
0.072332461	0.628252367
0.950529545	0.061937767
0.100447226	0.861600121
0.094242573	0.073337964
0.059883465	0.074797762
0.052557155	0.095164178
0	0.088858242
0.19788432	0
0.124739228	0.184857002
0.436158886	0.117279902
0.142111642	0.248038827
0.583699677	0.077781626
0.214229647	0.453339264
0.089783694	0.30051644
0.129994049	0.069843724
0.181587247	0.131348446
0.431258344	0.160026669
0.156140897	0.508632261
0.225549234	0.222101845
0.15894226	0.113322172
0.268418691	0.138922196
0.184023267	0.15645291
0.213075236	0.137169449
0.962126781	0.163550041
0.135500768	0.796996632
0.358379275	0.157895579
0.346866546	0.395995196
0.05753364	0.330515928
0.175870699	0.07571674
0.117402917	0.190697698
0.099069046	0.091832103
0.042609684	0.095441434
0.290741213	0.036109812
0.421378442	0.226852458
0.229095286	0.468985574
0.257138544	0.170344285
0.142684816	0.25212015
0.158998327	0.122004884
0.115867036	0.124651976
0.195401984	0.144123045
0.99288752	0.173936174
0.171464137	0.437089992
0.098193784	0.175493185
0.344254199	0.645222818
0.382883608	0.108131763
0.154184668	0.089899438
0.198752894	0.478398404
0.130842372	0.154067257
0.248917721	0.124632909
0.07268199	0.130857387
0.057618335	0.204165781
0.129180855	0.055192223
0.398356048	0.032070562
0.199685411	0.156373702
0.334305853	0.575410602
0.120130836	0.170919678
0.050525107	0.373347529
0.591079367	0.377018562
0.716804678	0.158227536
0.054856975	0.057880075
0.135039478	0.340641621
0.161154011	0.85345498
0.555579287	0.732269362
0.055870436	0.045605412
0.0722022	0.131752609
0.248510498	0.851990243
0.353487046	0.15137434
0.137219601	0.36759448
0.401347615	0.042439129
0.070038078	0.092173313
0.026270233	0.222714309
0.034070646	0.334885322
0.431809204	0.193357731
0.032617022	0.30411258
0.035180865	0.054460792
0.404223859	0.018912743
0.027637724	0.023838463
0.04305941	0.468671684
0.002525777	0.018829473
0.010059543	0.028448791
0.046220679	0.341397558
0.004040593	0.024614342
0.004720151	0.039984521
0.455997322	0.004567005
0.080939192	0.009588623
0.666409145	0.035481532
0.014750629	0.003012496
0.03085331	0.004977607
0.011960454	0.415631931
0.007186486	0.053728798
0.017223151	0.763497091
0.067588745	0.030101513
0.625719436	0.025467241
0.025964519	0.010390134
0.006815017	0.537377001
0.018343434	0.020642359
0.013218561	0.003814069
0.090210918	0.051711611
0.017141645	0.267865984
0.013676725	0.031707223
0.006066516	0.006532679
0.01161855	0.011477091
0.013980688	0.018655555
0.589815509	0.116541844
0.067806326	0.008311995
0.014974085	0.009773669
0.012867656	0.00726311
0.089138764	0.012959082
0.024699662	0.017834852
0.612508876	0.804597263
0.155457339	0.074507816
0.270712136	0.008037239
0.024200557	0.011301547
0.339462979	0.077500369
0.007527265	0.01630416
0.015550947	0.76618213
0.072353025	0.130492985
0.010220494	0.161926077
0.479787719	0.049482434
0.046342127	0.119074158
0.012296233	0.017461509
0.007305183	0.011932078
0.010302126	0.053371584
0.011116695	0.013300792
0.011869009	0.439984396
0.005542659	0.137128002
0.012206163	0.014474582
0.018096851	0.00928111
0.021108794	0.018967069
0.008424779	0.011412512
0.009422801	0.017934314
0.014274588	0.008751604
0.017035636	0.008660769
0.005516719	0.009617505
0.010141487	0.007060247
0.011296085	0.012180702
0.007236178	0.008474347
0.62505313	0.00926448
0.008900319	0.010480156
0.010263622	0.01308205
0.008557477	0.006748358
0.008166882	0.009917267
0.01093743	0.009248539
0.01155867	0
0.022397404	0.0077271
0.014047819	0.012079677
0.011585172	0.014771218
0.019690924	0.01030205
0.012718956	0.008268359
0.70477053	0.019691499
0.00835196	0.010851623
0.016906625	0.022655607
0.009398611	0.057083191
0.008571729	0.029448601
0.008430467	0.011530229
0.013323695	0.574325083
0.009518622	0.016339669
0.010051104	0.012116686
0.02029035	0.012857682
0.014122013	0.013370747
0.010335253	0.008816557
0.854494507	0.008892013
0.011443535	0.008350817
0.013588405	0.012686265
0.013261502	0.018327724
0.013802673	0.017197756
0.009860276	0.012054483
0.009562375	0.547010385
0.01523842	0.01127079
0.229989362	0.021089907
0.008544226	0.016511399
0.088025607	0.012983338
0.275781066	0.01916318
0.391660354	0.009625757
0.320246471	0.015147124
0.917899896	0.273559456
0.198837151	0.007598881
0.056442985	0.105690533
0.249595591	0.325150662
0.075119198	0.340047662
0.357941988	0.296063401
0.702244691	0.165886807
0.071503203	0.049425795
0.89776131	0.351652346
0.119942383	0.069165994
0.420789517	0.384248664
0.250498542	0.773295766
0.276200852	0.084269669
0.05838165	0.650966739
0.780510093	0.109323495
0.052373014	0.343123611
0.487955664	0.276227491
0.015176352	0.196613037
0.096489889	0.083462094
0.063022669	0.617888802
0.149216371	0.041538781
0.292263842	0.46986748
0.348415115	0.019689936
0.078708315	0.13326217
0.062018084	0.056128579
0.24473699	0.149014569
0.128949773	0.371892043
0.530859436	0.547831526
0.399564713	0.052651781
0.22111667	0.051508498
0.099557462	0.155545623
0.193033658	0.125722429
0.729142602	0.435382195
0.16226123	0.253374148
0.206343664	0.174398351
0.451586385	0.089427758
0.040891163	0.942208197
0.219604791	0.157677025
0.108034245	0.76700921
0.04143771	0.142769523
0.915219044	0.176420977
0.138877742	0.501284755
0.145750701	0.051058137
0.369635857	0.309406891
0.870319602	0.1045435
0.069577102	0.04239318
0.123537126	0.741075291
0.209978536	0.094902801
0.399372072	0.10783969
0.2894071	0.95816152
0.063259565	0.246225253
0.144971948	0.626013688
0.245554997	0.104962978
0.205648418	0.062396318
0.136817629	0.149352715
0.126623763	0.995351349
0.78571116	0.425342272
0.066151435	0.356094383
0.113074799	0.058035426
0.077920936	0.178930785
0.738785922	0.173175173
0.358354585	0.153339577
0.721141922	0.157500981
0.127239378	0.100725555
0.180413273	0.670142735
0.482055912	0.057861821
0.617785637	0.174159605
0.603176895	0.052087517
0.239663871	0.308121823
0.217120768	0.227964171
0.099925306	0.681009175
0.298027082	0.903306068
0.165490067	0.102638028
0.042839891	0.147416486
0.235626778	0.377879463
0.132911485	0.51280742
0.081187713	0.455159027
0.183196822	0.175848272
0.103084387	0.199569206
0.263122115	0.074222558
0.191171687	0.183225223
0.185664969	0.99927232
0.820629128	0.228951415
0.027016859	0.044870418
0.044168379	0.277283128
0.608501723	0.784709841
0.09523997	0.140294535
0.107849542	0.077550069
0.094291827	0.203978485
0.151540568	0.048568271
0.165216106	0.210801986
0.142838766	0.124396788
0.156444235	0.194537148
0.076338676	0.92296906
0.247338586	0.02624312
0.192558492	0.059467531
0.549804858	0.961621751
0.692241966	0.436161888
0.07737989	0.038353492
0.35861792	0.15244523
0.663827675	0.104971793
0.150511919	0.106733792
0.178825888	0.17398081
0.962482436	0.166936817
0.164950708	0.145684432
0.043256427	0.060277044
0.355976508	0.463936324
0.257426256	0.184765792
0.047617673	0.504022246
0.140717336	0.60902217
0.94605854	0.078331887
0.06123233	0.342178314
0.113634409	0.640187196
0.316608662	0.193485763
0.241708983	0.159821181
0.067418481	0.922142605
0.520512181	0.167541404
0.9747066	0.039052666
0.30620309	0.246850971
0.831532555	0.169781396
0.367334036	0.049834897
0.12420012	0.112005846
0.278909082	0.909603877
0.318662461	0.046689056
0.144577039	0.084249102
0.183864441	0.370930555
0.210332128	0.279199289
0.205050179	0.123396166
0.604402249	0.994280459
0.075382282	0.388016659
0.230427711	0.189001965
0.037693079	0.874110717
0.096672592	0.345729756
0.07641462	0.109088374
0.132696092	0.203656905
0.846644465	0.480185846
0.095001138	0.098537888
0.234105211	0.248827772
0.533636422	0.13774828
0.095162401	0.221450622
0.188403577	0.583842814
0.04070546	0.081947657
0.165090845	0.210303425
0.800029878	0.026114776
0.244739178	0.088331925
0.217900209	0.088205831
0.341081679	0.088931948
0.227156246	0.531023553
0.386609737	0.098090152
0.16923801	0.171888792
0.175914265	0.575672354
0.407326935	0.084619443
0.070391983	0.127345456
0.130277761	0.0442422
0.116229755	0.213283475
0.15620184	0.703933599
0.689357345	0.14563717
0.018686276	0.157547931
0.193712841	0.287452144
0.067671502	0.310362127
0.274968685	0.18425179
0.328869766	0.199774882
0.195382733	0.14141325
0.098732517	0.22067743
0.096742911	0.076436168
0.106698444	0.050593709
0.493521137	0.054244238
0.147327148	0.121234068
0.605283387	0.70149612
0.11293885	0.015461014
0.261216891	0.130670779
0.771859983	0.074709991
0.943258927	0.175047387
0.098677638	0.433212345
0.053258652	0.122815272
0.122865631	0.08079656
0.2279455	0.081910335
0.604916418	0.074132535
0.107942863	0.53582718
0.344282014	0.112753969
0.045798268	0.581003236
0.100592675	0.070643734
0.361544481	0.184905514
0.055591475	0.954940098
0.205048617	0.072547143
0.179697462	0.052334515
0.191006423	0.133883074
0.050869699	0.277221425
0.326240605	0.389095489
0.690568698	0.727661346
0.239699812	0.07830488
0.469917255	0.252466798
0.065643767	0.043871421
0.191474525	0.127422662
